,Randomness,Raw,Grammar/Style/Spelling,Readability Grade,Glue Index,rand**2,rand**3
0,0.6,"The colony's central courtyard was a vast expanse filled with rows of identical low-slung buildings, each housing its own residents. The colonists' communal kitchens were open to everyone, so Nora picked up a tray and joined the line at one of the food stations. She took her place in the long queue behind two other people, both dressed in the same utilitarian uniform as herself.

The line moved slowly, but Nora didn't mind; she was used to being hungry. As the morning progressed, the cafeteria filled with more people, some of whom were already eating. A few glanced over at Nora as they passed her, but no one said anything. She felt their eyes on her, though, like invisible fingers trailing across her skin.

Nora finished her meal and returned to the dormitory, where she washed dishes and stacked them in the recycler for later use. She then grabbed a fresh set of clothes and headed back out into the courtyard.

A soft chime announced her arrival, and the door slid aside with a hiss. Nora walked through the threshold and stopped dead, mouth agape. The entire room was packed with people, most of whom were wearing the same bright orange jumpsuits as Nora. In the middle of the group stood a man in a dark blue suit. He had short, blond hair and piercing green eyes that seemed to bore holes through Nora's brain.

""Good morning, Miss Decker,"" he greeted her cheerfully. ""Please come in.""

Nora stared at him blankly. She couldn't have heard correctly. What was this?

The man smiled broadly. ""I'm your new supervisor, Dr. O'Donnell. I'd like to welcome you to the colony.""

Nora blinked. Her head was spinning with confusion. ""My... my what?""

""Your supervisor, Miss Decker,"" the man repeated patiently. ""You're joining our team. Your duties will be to maintain the colony's machinery, make repairs, and oversee its growth. I've been assigned to help train you in these tasks.""

He gestured toward a stack of papers on one of the tables. On top of the pile was Nora's contract. She stared at it dumbfounded. How could they possibly expect her to sign something like this? She didn't know anything about the Company or the colonists!",74.0,5,44.0,0.36,0.21599999999999997
1,0.6,"The hallways were empty save for a few people hurrying to their duties. The colony's automated systems kept everyone fed and comfortable, but the colonists still had to do their own work. Most of the colonists were up early anyway, so Nora found herself alone in the corridors.

She walked briskly toward the mess hall. Her boots clanged on the metal floor as she passed the dormitories. At the end of the corridor, the communal showers waited. She slowed to a stop, looking over her shoulder at the closed door.

She heard the sound of the water first, then the faintest hint of voices. She recognized Nora's voice.

The sounds grew louder.

Nora stepped into the shower area, then turned back to the door. She reached out and knocked lightly. ""Eve?""

""Yes, Nora,"" Eve responded in a low, calm tone.

""I'm ready.""

""Come in, Nora.""

Nora opened the door and stepped inside. The shower room was large enough to accommodate several people at once. Three other women were already there, dressed in similar clothes. All three looked up from their conversation and greeted her with friendly smiles.

""Morning, Nora!"" one of them called.

The others chorused, ""Good morning, Nora!""

They seemed happy to see her.

""You're early this morning,"" another woman said. She smiled warmly as she spoke.

Nora didn't respond immediately, instead taking in the rest of the room. A row of cubicles lined the walls. Each contained a bed and small desk. The cubicles were separated by doors, which opened out onto shared areas.

The shower area at the far end of the room had been converted into a communal bathroom. It held two showers, one for each gender, plus a toilet and sink.

""I just got up,"" Nora explained. ""I couldn't sleep.""

""Oh."" The other woman's smile faded. She looked at the others in the room, then back to Nora. ""We should be getting ready soon. We have to finish our shifts today so we can leave on schedule.""

""Okay,"" Nora replied, though she wasn't sure what they meant. ""Where do I go?""",77.0,5,47.0,0.36,0.21599999999999997
2,0.6,"The corridor outside the dormitory was narrow, its walls made of smooth, reflective metal plates. The ceiling was low and flat, the floors sloped slightly downward toward the center. Nora walked quickly to avoid falling on her face. She passed other colonists heading in opposite directions, each wearing their own version of a uniform and carrying their own personal loaders and tools.

Nora reached the mess hall at the far end of the hallway and turned left to walk through the double doors.

A wave of heat washed over Nora as she entered the large room, and she paused to let it wash over her. A long counter ran along one side of the room. In front of it were several rows of high stools that faced a row of small tables. On the wall above the counter, a clock showed the time.

The colony was located in a remote region where the sun never rose. This room was the only place Nora could get fresh air and sunlight. She took a seat at the nearest table, which was already crowded with two other colonists who had come to eat before starting work.

Nora fidgeted uncomfortably as she waited for her food. She knew from experience how much trouble the Colony Manager made when colonists skipped meals. Nora hadn't missed a meal in days, but that wasn't going to last forever.

She pulled out her tray and placed it on the tabletop. As she did so, the door behind her opened.

The man who walked in was tall, lean, and dark haired. He wore an olive drab uniform and carried himself with confidence. Nora didn't know him, but she recognized his bearing. The Colony Manager.

""Nora Decker?"" he asked. His tone was polite but cold. ""I'm Captain Michael Breen.""

""Yes, sir,"" Nora replied. She stood up to shake hands.

Captain Breen was a good ten centimeters taller than Nora. She had to look up into his eyes. It was unnerving, like looking at a stranger.",65.0,6,46.0,0.36,0.21599999999999997
3,0.6,"The dormitory halls were quiet, the colonists asleep in their beds. Nora stopped at a small kitchen to grab a bowl and spoon. She found a few stale pastries left over from yesterday's meal. The colony had rationed food supplies as much as possible. There was little waste, but the colonists didn't have much to spare.

The dining hall was empty save for the two women eating alone at one of the long tables. Nora slid into the seat next to them, digging into her bowl. She chewed slowly while she watched the other woman eat.

""Morning,"" said the woman. Her name was Evelyn. She wore her brown hair cut short and neat. A pale scar ran across her cheekbone.

Nora nodded, swallowing her mouthful of mushy cereal. ""Hi.""

Evelyn finished chewing before speaking again. ""I don't know how you do it, Nora. I've been up since four, and my eyes are killing me.""

""It's not so bad,"" Nora replied. She kept her tone even. It was rare for anyone to complain about being awake this early. ""You get used to it after a while. And we're supposed to be working today, remember?""

Evelyn shrugged. ""Yeah. I'm going down to the power plant. I'll see if there's anything broken. You go on ahead and eat breakfast.""

Nora ate her last bite, set her bowl aside, and stood. ""Thanks. See ya later.""

She walked through the main hall into the corridor. The door to the dining hall opened behind her, and Evelyn stepped out. Nora turned back toward the kitchen and caught a glimpse of Evelyn's face.

A strange expression crossed Evelyn's features for an instant, then she smiled. ""Good morning, Nora.""

Nora paused. Something wasn't right. She glanced at Evelyn's eyes, which were blue and normal. Then Nora realized what was wrong with her vision.

Her eyes were red and glowing like those of a vampire.

Nora stared at Evelyn in shock, unable to believe what she saw. Her skin felt cold despite the heat of her body. A chill crept up Nora's spine, making her tremble.

""Nora? Are you okay?""

The woman who called herself Evelyn held out her hands. They weren't red and glowing like Nora's. They were pale and unmarked.",83.0,4,41.0,0.36,0.21599999999999997
4,0.6,"The corridor outside her room was empty except for the automated doors at the end of each hall. The automated door guards were programmed to let anyone pass, but they also served as sentry points. They monitored the halls for intruders and opened the outer gates for colonists leaving the dormitories.

The hallway outside Nora's room was lined with identical rooms, their open doors revealing the small, utilitarian furnishings inside. She passed several other rooms where colonists slept in silence, their breathing a rhythmic sound like waves on distant shores.

Nora walked past the last door to the end of the hall, where she turned right and headed for the communal showers. The cold water would help wash away the lingering cobwebs from sleep.

She pushed through the swinging door and stopped short, surprised by what lay beyond it.

A large rectangular pool occupied the middle of the floor. A series of steps led down to a wide ledge around the edge of the pool, and along its side ran a long, thin bench with a row of lockers underneath.

Atop the opposite wall stood an automated showerhead, spraying water into the air in a gentle stream. A line of soap dispensers sat beside the locker area. Several more benches lined the walls on either side of the pool, and the far end was filled with a bank of toilet stalls.

The scene looked inviting, but Nora hesitated to enter the pool. It might be contaminated with the hive's filth.

In her mind, she envisioned a swarm of drones waiting for her in the deep waters.

With a sigh, Nora stepped over the threshold and lowered herself onto the bench closest to the showers.",91.0,8,43.0,0.36,0.21599999999999997
5,0.6,"The halls were dimly lit by dim blue lights at intervals. Nora navigated along them, listening for the sound of voices. She passed a few colonists moving about their duties in the early morning hours, but none were awake yet. The only sounds she heard came from the corridor walls.

The hallways were lined with doors leading to different rooms. She stopped at one of the doors and pressed her ear against it, hearing nothing. With a sigh, Nora knocked on the door twice, waited for someone to answer, then opened the door to enter.

Inside was a small room with three beds and a communal bathroom. Nora turned around, surprised that no one had come to see who had entered the room. She walked back out of the dormitory and closed the door behind her.

She paused outside the entrance to listen again, this time straining to hear any noise coming from inside. A faint clatter sounded through the wall, followed by a muffled curse.

Nora crept into the room and peeked through the window beside the door. She saw an empty bed and a pile of clothing on the floor. But the clattering sound continued. Nora peered around the corner, but couldn't tell what was making it.

""Hey, you,"" Nora called out. ""I'm talking to you.""

The clattering ceased. There was a long pause, then a thump from the other side of the room. Nora winced at the sound of something heavy falling over.

A moment later, a pale, gaunt figure emerged from the shadows. It was thin, wearing tattered clothes and a stained apron. Its face was covered in dark stubble and its eyes were sunken and bloodshot.

Nora stared at the person for several seconds before she realized it wasn't a person.",85.0,5,49.0,0.36,0.21599999999999997
6,0.6,"The corridors were empty, quiet save for the soft creak of Nora's boots. The corridor walls were a dull gray color with dark metallic veins. She felt her way along the wall, counting the doors as she passed them. She reached the end of the hall without incident.

Nora entered the main dining room to find it empty except for a lone figure at one of the tables. Sully sat alone, wearing a thick coat and hat over his hairless head. His long fingers gripped the table edge as he stared into space.

He looked up when Nora approached. ""Good morning,"" he said softly, then stood.

""Morning,"" Nora replied. She took a seat opposite him.

Sully nodded to her with a faint smile. He wore a pale blue shirt under his coat, the collar turned up around his ears. Nora noticed that his eyes were red rimmed.

Nora glanced away from him, looking toward the front door as if she could see through it and into the stormy weather beyond. She shivered.

""I'm going out."" Nora paused, uncertain how to continue. ""To check on something. I'll be back soon. We can eat together.""

She pushed her chair back from the table. Sully's lips twitched.

Nora gathered her jacket and left the room. She didn't look back.

Outside, she found an empty hallway and followed it to the exit. The wind blew hard, forcing her to take deep breaths before she stepped outside. Nora pulled her hood up over her head, then checked her wristwatch as she walked briskly down the path. It was 8: 30 AM.

The sun had risen only a few minutes ago. Nora squinted at the bright light and turned her face away, shielding her eyes with one hand. She felt exposed without sunglasses or goggles. But she knew they wouldn't work in this environment.

Nora followed the winding path out of the settlement, passing several more buildings until she reached the edge of the colony.",72.0,4,40.0,0.36,0.21599999999999997
7,0.6,"The corridors were empty at this early hour. The lights blinked dimly, making the long hallways seem even darker than they really were. Even the ceiling panels overhead seemed to glow faintly.

Nora found herself in a large dining area where rows of tables were lined up in neat, orderly fashion. She took her place among the other colonists at a table near the front of the room. They sat silently as she scanned their faces for familiar ones.

Most of the colonists looked like her, but there were a few others. Some were older, some younger. Nora spotted several women and two men who didn't look like her at all. Most of them wore dark clothing, while a few had on brightly colored tunics. A handful of people had on the same kind of clothes that Nora did, but most of them were dressed differently.

Nora tried to count heads. There should have been thirty or so of them. But when she glanced around the room, she noticed that a couple of people weren't sitting with the rest. One man stood off in the corner by himself and another woman was missing.

She frowned as she tried to figure out what could be wrong. Something about the situation felt... off. She'd seen enough movies and holos to know how important it was for a group of strangers to stick together in a crisis.

But this wasn't a movie. This was reality. And the colony was on its own. The Company wouldn't come back for weeks.

Nora's heart beat faster as she remembered the last time she'd been alone in a hostile environment. It hadn't ended well.

""You're late,"" said a voice from behind her.

Startled, Nora turned and saw that the man who had spoken was standing next to the table. He looked like he belonged here. Tall and muscular, with short, dark hair, his skin was tanned and weathered. His eyes were a striking shade of green, and they seemed to look right through her.

He wore a loose shirt that hung open over a pair of tight pants.",77.0,5,53.0,0.36,0.21599999999999997
8,0.6,"The hallways were dimly lit and empty except for Nora's footsteps. The colony's power plant hummed in the background, a steady drone punctuated by occasional bursts of mechanical whine. Her boots echoed loudly on the smooth flooring.

Nora paused to glance at the digital clock on the wall beside the door. Six thirty. She was early, but the colonists had already been up for hours. Nora didn't mind. A little extra time to get her head straight wasn't going to hurt.

The commotion from the command center reached her ears as she walked along the corridor. Voices shouted over one another. A few people were running through the corridors, carrying tools and equipment. More voices called out directions to each other.

Nora stopped outside the command center. She listened for a moment, then pushed open the heavy doors. Inside was chaos. People ran back and forth across the room, shouting orders and commands. Equipment clattered and whined. Nora stood in the doorway, unsure what to do.

The noise subsided into a quiet murmur. Nora stepped inside. The scene around her seemed unreal. She couldn't see anyone standing still. Everyone moved with purpose, but no two people were doing the same thing. One person sat at a table covered in schematics and maps. Another man paced behind him, muttering instructions under his breath. Two women bent over a computer console, their heads close together and fingers flying over the keys.

A woman wearing thick gloves grabbed Nora by the arm and tugged her forward.""Nora!""She looked down at Nora's face. Her eyes widened.""You're early! You missed the first shift meeting.""""I know,""said Nora. She shook her head, trying to clear it.""But I'm here now.""The woman squeezed Nora's forearm reassuringly.""Good. Come on, we'll need you in the garage.""""Garage?""""They've got a problem with one of the power loaders. We'll have to take it apart and fix it.""""Right,""Nora said. She followed the woman through the corridors.

The command center had a small garage attached to its outer wall. Nora hadn't noticed it before. The garage was empty except for an old, battered tractor-type vehicle. A thin layer of dust covered its wheels and tires.

The woman led Nora to a door in the back corner of the garage.",75.0,5,43.0,0.36,0.21599999999999997
9,0.6,"The hallways were dimly lit by yellow lights that flickered overhead. The walls, floors, ceilings, and even the doorframes were made of metal plates welded together. A few small plants grew in pots at intervals along the halls to keep them from feeling too empty.

As she walked, Nora heard the distant sound of machinery and the hum of power tools. She stopped to peer down a side hallway where several workers were busily welding something onto the wall. In front of each worker was a large rectangular box that looked like a tool rack. One of the workers glanced up at her. He smiled as he saw Nora's confused expression, then continued his work.

She turned away, shaking her head in confusion. She'd seen this sort of thing before. Why didn't I know about these?

Nora shook her head again. Maybe there wasn't time to learn everything. She had no idea how many other things she would have missed.

But what if we're not prepared for anything else? What if some other problem comes up that we can't handle?

Her stomach rumbled. Nora started down the corridor toward the mess hall. She passed a door marked ""Maintenance."" It was closed and dark, but the faint smell of oil lingered. Nora tried to imagine what went on inside, but couldn't picture it clearly enough to make sense of the noises she heard.

The mess hall was open and bright with morning sunlight. Several workers sat at long tables, eating breakfast or talking quietly over their meal. Nora spotted the cook and a couple of helpers nearby. They were busy at the stove, stirring and flipping food as they cooked it.

Nora paused outside the doorway to get her bearings. The mess hall was located in one corner of the colony, near the hydroponics greenhouse. Past the mess hall, Nora could see rows of greenhouses that stretched out into the distance. A few workers milled around the greenhouse walls, tending to crops and watering plants.

The mess hall itself was long and narrow, lined with large metal plates that looked like cafeteria trays. Most of the tables were empty except for a handful of workers who ate alone, hunched over their meals and staring down at the table in front of them. Nora recognized several from her engineering class.

She stepped through the door and headed for an empty table. She picked up a tray and filled it with eggs, toast, bacon, and fresh fruit. As she sat down, Nora noticed the man sitting across from her. He was tall and thin, wearing a black uniform that fit him snugly.",74.0,6,44.0,0.36,0.21599999999999997
